"Control_ID,Control_Name,Owner,Department,Status,Last_Test_Date,Evidence_File,Risk_Level"
"C001,Access Control Review,IT,Technology,Pass,2026-01-10,access_log.pdf,Low"
"C002,Data Encryption Check,Security,Technology,Fail,2026-01-05,,High"
"C003,Firewall Configuration,IT,Technology,Pass,2026-01-12,firewall_report.pdf,Medium"
"C004,User Access Audit,Compliance,Risk,Fail,2026-01-03,,High"
"C005,Incident Response Test,Security,Risk,Pass,2026-01-08,incident_report.pdf,Medium"
"C006,Backup Validation,IT,Operations,Pass,2026-01-11,backup_log.pdf,Low"
"C007,Patch Management,IT,Technology,Fail,2026-01-02,,High"
"C008,Network Monitoring,Security,Technology,Pass,2026-01-09,network_log.pdf,Low"
"C009,Vendor Risk Assessment,Compliance,Risk,Pass,2026-01-07,vendor_report.pdf,Medium"
"C010,Password Policy Enforcement,IT,Technology,Fail,2026-01-01,,High"
